Country,Region,Category,Value,Score
Afghanistan,Southern Asia,Life Expectancy,0.361,3.203
Albania,Central and Eastern Europe,Life Expectancy,0.874,4.719
Algeria,Middle East and Northern Africa,Life Expectancy,0.785,5.211
Argentina,Latin America and Caribbean,Life Expectancy,0.881,6.086
Armenia,Central and Eastern Europe,Life Expectancy,0.815,4.559
Australia,Australia and New Zealand,Life Expectancy,1.036,7.228
Austria,Western Europe,Life Expectancy,1.016,7.246
Azerbaijan,Central and Eastern Europe,Life Expectancy,0.769,5.208
Bahrain,Middle East and Northern Africa,Life Expectancy,0.871,6.199
Bangladesh,Southern Asia,Life Expectancy,0.723,4.456
Belarus,Central and Eastern Europe,Life Expectancy,0.789,5.323
Belgium,Western Europe,Life Expectancy,0.986,6.923
Benin,Sub-Saharan Africa,Life Expectancy,0.397,4.883
Bhutan,Southern Asia,Life Expectancy,0.604,5.082
Bolivia,Latin America and Caribbean,Life Expectancy,0.706,5.779
Bosnia and Herzegovina,Central and Eastern Europe,Life Expectancy,0.845,5.386
Botswana,Sub-Saharan Africa,Life Expectancy,0.538,3.488
Brazil,Latin America and Caribbean,Life Expectancy,0.802,6.3
Bulgaria,Central and Eastern Europe,Life Expectancy,0.815,5.011
Burkina Faso,Sub-Saharan Africa,Life Expectancy,0.38,4.587
Burundi,Sub-Saharan Africa,Life Expectancy,0.38,3.775
Cambodia,Southeastern Asia,Life Expectancy,0.637,4.7
Cameroon,Sub-Saharan Africa,Life Expectancy,0.331,5.044
Canada,North America,Life Expectancy,1.039,7.278
Central African Republic,Sub-Saharan Africa,Life Expectancy,0.105,3.083
Chad,Sub-Saharan Africa,Life Expectancy,0.192,4.35
Chile,Latin America and Caribbean,Life Expectancy,0.92,6.444
China,Eastern Asia,Life Expectancy,0.893,5.191
Colombia,Latin America and Caribbean,Life Expectancy,0.841,6.125
Comoros,Sub-Saharan Africa,Life Expectancy,0.505,3.973
Congo,Sub-Saharan Africa,Life Expectancy,0.508,4.812
Dem. Rep. Congo,Sub-Saharan Africa,Life Expectancy,0.357,4.418
Costa Rica,Latin America and Caribbean,Life Expectancy,0.963,7.167
Croatia,Central and Eastern Europe,Life Expectancy,0.914,5.432
Cyprus,Western Europe,Life Expectancy,1.042,6.046
Czech Republic,Central and Eastern Europe,Life Expectancy,0.92,6.852
Denmark,Western Europe,Life Expectancy,0.996,7.6
Dominican Republic,Latin America and Caribbean,Life Expectancy,0.779,5.425
Ecuador,Latin America and Caribbean,Life Expectancy,0.868,6.028
Egypt,Middle East and Northern Africa,Life Expectancy,0.644,4.166
El Salvador,Latin America and Caribbean,Life Expectancy,0.789,6.253
Estonia,Central and Eastern Europe,Life Expectancy,0.874,5.893
Ethiopia,Sub-Saharan Africa,Life Expectancy,0.532,4.286
Finland,Western Europe,Life Expectancy,0.986,7.769
France,Western Europe,Life Expectancy,1.045,6.592
Gabon,Sub-Saharan Africa,Life Expectancy,0.571,4.799
Georgia,Central and Eastern Europe,Life Expectancy,0.752,4.519
Germany,Western Europe,Life Expectancy,0.987,6.985
Ghana,Sub-Saharan Africa,Life Expectancy,0.486,4.996
Greece,Western Europe,Life Expectancy,0.999,5.287
Guatemala,Latin America and Caribbean,Life Expectancy,0.746,6.436
Guinea,Sub-Saharan Africa,Life Expectancy,0.375,4.534
Haiti,Latin America and Caribbean,Life Expectancy,0.449,3.597
Honduras,Latin America and Caribbean,Life Expectancy,0.828,5.86
Hong Kong,Eastern Asia,Life Expectancy,1.122,5.43
Hungary,Central and Eastern Europe,Life Expectancy,0.828,5.758
Iceland,Western Europe,Life Expectancy,1.026,7.494
India,Southern Asia,Life Expectancy,0.588,4.015
Indonesia,Southeastern Asia,Life Expectancy,0.66,5.192
Iran,Middle East and Northern Africa,Life Expectancy,0.785,4.548
Iraq,Middle East and Northern Africa,Life Expectancy,0.574,4.437
Ireland,Western Europe,Life Expectancy,0.999,7.021
Israel,Middle East and Northern Africa,Life Expectancy,1.029,7.139
Italy,Western Europe,Life Expectancy,1.039,6.223
Ivory Coast,Sub-Saharan Africa,Life Expectancy,0.232,4.944
Jamaica,Latin America and Caribbean,Life Expectancy,0.831,5.89
Japan,Eastern Asia,Life Expectancy,1.088,5.886
Jordan,Middle East and Northern Africa,Life Expectancy,0.815,4.906
Kazakhstan,Central and Eastern Europe,Life Expectancy,0.729,5.809
Kenya,Sub-Saharan Africa,Life Expectancy,0.581,4.509
Kosovo,Central and Eastern Europe,Life Expectancy,0.758,6.1
Kuwait,Middle East and Northern Africa,Life Expectancy,0.808,6.021
Kyrgyzstan,Central and Eastern Europe,Life Expectancy,0.723,5.261
Laos,Southeastern Asia,Life Expectancy,0.551,4.796
Latvia,Central and Eastern Europe,Life Expectancy,0.812,5.94
Lebanon,Middle East and Northern Africa,Life Expectancy,0.815,5.197
Lesotho,Sub-Saharan Africa,Life Expectancy,0.168,3.802
